Field=3DR_PARTNO~String~3DR_PARTNO~100|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Currency 1~String~Supplier Currency 1~100|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Stock 1~Integer~Supplier Stock 1~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|Field=Value~String~Value~100|ReportField=Currency~USD|ReportField=ProductionQuantity~5000|ReportField=ProjectFileName~FMU3_REV_G.PrjPcb|ReportField=ProjectFullPath~F:\Current_Work\00_0_git\Pixhawk_OS_Hardware\FMUv3_REV_G\FMU3_REV_G.PrjPcb|ReportField=Title~PCH For Variant [FMU3_REV_G] of Project [FMU3_REV_G.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~152|ReportField=ReportTime~4:11:12 PM|ReportField=ReportDate~9/09/2015|ReportField=ReportDateTime~9/09/2015 4:11:12 PM|ReportField=OutputName~PCH|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~FMU3_REV_G|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~9/09/2015|ReportField=CurrentTime~4:10:12 PM|ReportField=Date~18/08/2014 1:53:28 PM|ReportField=DocumentFullPathAndName~F:\Current_Work\00_0_git\Pixhawk_OS_Hardware\FMUv3_REV_G\80PIN_FMU3_REV_G.SchDoc|ReportField=DocumentName~80PIN_FMU3_REV_G.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~Philip Rowse|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~7/09/2015|ReportField=Organization~|ReportField=ProjectName~FMU3_REV_G.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~9|ReportField=SheetTotal~10|ReportField=Time~|ReportField=Title~Pixhawk_mini_8L.sch|ReportField=DataSourceFileName~FMU3_REV_G.PrjPcb|ReportField=DataSourceFullPath~F:\Current_Work\00_0_git\Pixhawk_OS_Hardware\FMUv3_REV_G\FMU3_REV_G.PrjPcb
ECM0712|10u|CAP CER 10UF 10V 10% X5R 0603|C10004|0603-CAP|CAP0603|TDK Corporation|C1608X5R1A106K080AC|1|Digi-Key|USD|5000|445-7486-1-ND|275399|654.96172|0.13099|10u
ECM0839|Schottky barrier diode|DIODE SCHOTTKY 30V 0.03A SOD323|D5001|SOD323|DIODE-SCHOTTKY_SOD323|ON Semiconductor|RB751V40T1G|1|Digi-Key|USD|5000|RB751V40T1GOSCT-ND|88866|257.15545|0.05143|30V
ECM0837|DIODE-TVS|TVS DIODE 14VWM 40VC 0402|D8001, D8002|0402-TVS|DIODE-TVS|TE Connectivity / Raychem|PESD0402-140|2|Mouser|USD|10000|650-PESD0402-140|116346|928.43405|0.09284|40v
ECM0838|PMEG2005CT|DIODE SCHOTTKY 20V 500MA TO236AB|D10001|SOT23-3|PMEG2005CT|NXP Semiconductors|PMEG2005CT,215|1|Digi-Key|USD|5000|568-6500-1-ND|166|494.91078|0.09898|20V
ECM0802|0ZCA0035FF2G|PTC RESTTBLE 0.35A 16V CHIP 1206|F10001|PTC-1206|PTCSMD|Bel Fuse Inc.|0ZCA0035FF2G|1|Digi-Key|USD|5000|507-1479-1-ND|62616|565.27083|0.11305|0.35A
ECM0486|47346-0001|MICRO USB B, BOTTOM MOUNT|J2001|MOLEX-47346-0001|MOLEX-47346-0001|Molex Inc.|0473460001|1|Digi-Key|USD|5000|WM17141DKR-ND|43512|2610.35468|0.52207|
|J_1-2||JP1|SJ_3_NO_PLACE_1-2_short|JUMPER-31-2|||1||||||||
ECM0719|Kyocera KNH16C104DA5TS EMI filter|FILTER CAP 0.1UF 2A 25V 0603|L2001, L2002, L5001|KYOCERA-KNH16-DA|KNH16C104DA5TS|AVX Corp/Kyocera Corp|KNH16C104DA5TS|3|Digi-Key|USD|15000|478-6878-1-ND|253344|1309.92344|0.08733|0u1
ECM0494|LED0603_Green|LED GREEN ROUND CLEAR SMD|LED1, LED2, LED6001, LED6002, LED6003, LED6004, LED6005, LED6006, LED6007, LED6008, LED6009|0603-LED-Blue|LED0603_Blue|Kingbright|APTD1608CGCK|11|Digi-Key|USD|55000|754-1545-2-ND|92000|3888.47579|0.0707|GREEN
ECM0515|AMBER|LED 1.6X0.8 DOME ORN CLEAR SMD|LED6010, LED6011|0603-LED|LED0603|Kingbright|APTD1608SECK/J4-PF|2|Digi-Key|USD|10000|754-1802-1-ND|3876|1826.31291|0.18263|AMBER
PCB005|PCB005|PCB,FMU, PX2, Board|PCB005||PCB_0005|||1||||||||PCB005
ECM0833|MMBT3906*SMD|TRANSISTOR SWITCHING PNP SOT-23|Q5001|SOT23-BEC|MMBT3906*SMD|Infineon Technologies|MMBT 3906 LT1|1|Digi-Key|USD|5000|MMBT3906LT1INCT-ND|63956|165.73241|0.03315|
ECM0547|BSS123|MOSFET N-CH 100V 170MA SOT23-3|Q6001|SOT23|BSS123|Diodes Incorporated|BSS123-7-F|1|Digi-Key|USD|5000|BSS123-FDICT-ND|43478|312.0647|0.06241|100V
ECM0821|220R|RES 220 OHM 1/16W 1% 0402 SMD|R1, R2, R1022, R4001, R4002, R6003, R6004, R6005, R6006, R6007, R6008, R6009, R6010, R6011, R6012, R6013, R6014, R6015, R7003, R7004, R7010, R7011, R7012|0402-RES|RESISTOR0402-RES|Yageo|RC0402FR-07220RL|23|Digi-Key|USD|115000|311-220LRCT-ND|824525|202.38477|0.00176|220R
ECM0823|470R|RES 470 OHM 1/16W 1% 0402 SMD|R1001|0402-RES|RESISTOR0402-RES|Yageo|RC0402FR-07470RL|1|Digi-Key|USD|5000|311-470LRCT-ND|354652|8.79934|0.00176|470R
ECM0800|10K|RES 10K OHM 1/16W 1% 0402 SMD|R1002, R5001, R5006, R6002, R7001, R7002, R8001|0402-RES|RESISTOR0402-RES|Yageo|RC0402FR-0710KL|7|Digi-Key|USD|35000|311-10.0KLRCT-ND|8409794|61.59536|0.00176|10K
ECM0810|10K/0.1%|RES 10K OHM 1/16W .1% 0402 SMD|R2001, R2002|0402-RES|RESISTOR0402-RES|Panasonic Electronic Components|ERA-2AEB103X|2|Digi-Key|USD|10000|P10KDCCT-ND|645732|738.10507|0.07381|10K
ECM0806|1M|RES 1M OHM 1/16W 1% 0402 SMD|R2003, R2004|0402-RES|RESISTOR0402-RES|Yageo|RC0402FR-071ML|2|Digi-Key|USD|10000|311-1.00MLRCT-ND|1108888|17.59868|0.00176|1M
ECM0803|1K5|RES 1.5K OHM 1/16W 1% 0402 SMD|R3001, R3002, R3003, R3004, R6017|0402-RES|RESISTOR0402-RES|Yageo|RC0402FR-071K5L|5|Digi-Key|USD|25000|311-1.50KLRCT-ND|1406951|43.99669|0.00176|1K5
ECM0820|120R|RES 120 OHM 1/16W 1% 0402 SMD|R3005, R3006, R3007, R3008, R3009, R3010|0402-RES|RESISTOR0402-RES|Yageo|RC0402FR-07120RL|6|Digi-Key|USD|30000|311-120LRCT-ND|513957|52.79603|0.00176|120R
ECM0807|1K8|RES 1.8K OHM 1/16W 1% 0402|R5002|0402-RES|RESISTOR0402-RES|Samsung Electro-Mechanics America, Inc.|RC1005F182CS|1|Digi-Key|USD|5000|1276-4039-1-ND|83463|9.9772|0.002|1K8
ECM0811|10R|RES 10 OHM 1/10W 5% 0603|R5003|0603-RES|RESISTOR0603-RES|Samsung Electro-Mechanics America, Inc.|RC1608J100CS|1|Digi-Key|USD|5000|1276-5014-1-ND|169963|8.17576|0.00164|10R
ECM0804|1K|RES 1K OHM 1/16W 1% 0402|R5005, R6001|0402-RES|RESISTOR0402-RES|Samsung Electro-Mechanics America, Inc.|RC1005F102CS|2|Digi-Key|USD|10000|1276-3430-1-ND|1453148|19.9544|0.002|1K
ECM0816|68R|Thick Film Resistors - SMD 0402 68ohms 5% Tol|R6016|0402-RES|RESISTOR0402-RES|Panasonic|ERJ-2GEJ680X|1|Mouser|USD|5000|667-ERJ-2GEJ680X|54174|10.39292|0.00208|68R
ECM0818|100K|RES 100K OHM 1/16W 1% 0402 SMD|R10001|0402-RES|RESISTOR0402-RES|Yageo|RC0402FR-07100KL|1|Digi-Key|USD|5000|311-100KLRCT-ND|4120914|8.79934|0.00176|100K
ECM0101|100K|RES ARRAY 100K OHM 8 RES 1506|RN2001|EXB2HV|8R-NEXB2HV-100K|Panasonic Electronic Components|EXB-2HV104JV|1|Digi-Key|USD|5000|Y1104CT-ND|64408|320.37903|0.06408|100K
ECM0546|10K/0.1%|RES ARRAY 10K OHM 8 RES 1506|RN2002|EXB2HV|8R-NEXB2HV-10K|Panasonic Electronic Components|EXB-2HV103JV|1|Digi-Key|USD|5000|Y1103CT-ND|180353|320.37903|0.06408|10K
EMC, EMC, ECM0266, ECM0266|120R|RES ARRAY 120 OHM 8 RES 1506|RN3001, RN3002, RN8001, RN8002|EXB2HV|8R-NEXB2HV-120R, 8R-NEXB2HV-120R, 8R-NEXB2HV-220R, 8R-NEXB2HV-220R|Panasonic Electronic Components|EXB-2HV121JV|4|Digi-Key|USD|20000|Y1121CT-ND|26725|1281.51613|0.06408|120R
|MPU-9250||U405|MPU-9250|MPU-6500|InvenSense|MPU-9250|1|Digi-Key|USD|5000|1428-1019-2-ND|25000|25564.88186|5.11298|
|STM32F437VIT6|REV 3 Silicon or later IC MCU ARM 2MB FLASH 100LQFP|U1001|TQFP100|STM32F4X7VX|STMicroelectronics|STM32F427VIT6|1|Digi-Key|USD|5000||710|48742.33714|9.74847|
|FM25V02A|IC FRAM 256KBIT 40MHZ 8SOIC|U1002|SO08|FM25V01|Cypress Semiconductor Corp|FM25V02A-G|1|Digi-Key|USD|5000|428-3386-ND|4|16535.41039|3.30708|256Kb
ECM0836|NUF2042XV6|IC FILTER USB ESD PROTECT SOT363|U2001|SOT563-6|NUF2042XV6|ON Semiconductor|NUF2042XV6T1G|1|Digi-Key|USD|5000|NUF2042XV6T1GOSDKR-ND|3971|745.51868|0.1491|
ECM0485|2908-05WB-MG|CONN MICRO SD CARD PUSH-PUSH R/A|U2002|MICROSD|MICROSDSDI|3M|2908-05WB-MG|1|Digi-Key|USD|5000|3M5607CT-ND|32587|9916.74956|1.98335|
ECM0845|TXS0108QFN20|IC XLATR VOLT-LVL 8B BDIR 20QFN|U3001, U3002, U8001|QFN20-RGY|TXS0108QFN20|Texas Instruments|TXS0108ERGYR|3|Digi-Key|USD|15000|296-24806-1-ND|29368|12814.46844|0.8543|
ECM0831|3.3-V CAN TRANSCEIVER|IC TXRX CAN 1MBPS SOT23-8|U3003, U3004|SOT23-8|MAX3051MAX3051EKA|Maxim Integrated|MAX3051EKA+T|2|Digi-Key|USD|10000|MAX3051EKA+TCT-ND|26480|19277.33942|1.92773|CAN
ECM0672|HMC5983|IC COMPASS 3 AXIS 16-LCC|U4002|HMC5983-new|HMC5983|Honeywell Microelectronics & Precision Sensors|HMC5983-TR|1|Digi-Key|USD|5000|342-1092-1-ND|7631|7492.42812|1.49849|
ECM0835|MS5611-01BA|Board Mount Pressure Sensors|U4003|MS5611-01BA|MS5611-01BA|Measurement Specialties|MS561101BA03-50|1|Mouser|USD|5000|824-MS561101BA03-50|2422|33361.2682|6.67225|10-1200mbar
ECM0832|MIC5332|IC REG LDO 3.3V 0.3A 8TMLF|U5001, U10002|MLF-8-EPAD|MIC5332|Micrel Inc.|MIC5332-SSYMT TR|2|Digi-Key|USD|10000|576-4110-1-ND|2180|8048.41461|0.80484|3.3V
EMC0842|ST STM32F101/103 48pin LQFP|MCU 32BIT ARM 64K FLASH 48LQFP|U7001|TQFP48|STM32F10XCXT6|STMicroelectronics|STM32F100C8T6B|1|Digi-Key|USD|5000|497-10499-ND|2419|7973.48167|1.5947|
|SN74LVC8T245||U8002|QFN20-RGY|SN74LVC8T245|Texas Instruments|SN74LVC8T245RHLR|1|Digi-Key|USD|5000|296-18595-2-ND|7000|2453.7334|0.49075|
ECM0817|Dual inverter tri-state, 3.3V/5V|IC INVERTER DUAL 4-INPUT 8TSSOP|U8003|TSSOP8_SOT505-2|74LVC2G240-TSSOP-8|NXP Semiconductors|74LVC2G240DP,125|1|Digi-Key|USD|5000|568-8979-1-ND|4590|684.85868|0.13697|INV
ECM0824|BQ24313|IC LI+ CHARGER FRONT END 8-SON|U10001|QFN8-DSG|BQ24313|Texas Instruments|BQ24313DSGT|1|Digi-Key|USD|5000|296-23933-1-ND|95|4341.81489|0.86836|
ECM0517|DF40C-20-DS|CONN RCPT 20POS 0.4MM SMD GOLD|U$2|DF-40C-20DS|DF40C-20-DS|Hirose Electric Co Ltd|DF40C(2.0)-20DS-0.4V(51)|1|Digi-Key|USD|5000|H11905CT-ND|18255|2088.28375|0.41766|
ECM0518|CON-DF17-80F|CONN RECEPT 80POS .5MM SMD W/FIT|U$9001|CON-DF17-80F|CON-DF17-80F|Hirose Electric Co Ltd|DF17(3.0H)-80DS-0.5V(57)|1|Digi-Key|USD|5000|DF17(3.0H)-80DS-0.5V(57)-ND|0|6692.00019|1.3384|
ECM0708|Crystal Oscillator in 3.2x2.5 SMD|CRYSTAL 24MHZ 8PF SMD|X1001, X7001|OSCILLATOR-3.2X2.5|OSCILLATOR-3.2X2.5|NDK|NX3225SA-24.000MHZ-STD-CSR-1|2|Digi-Key|USD|10000|644-1052-1-ND|220715|3929.42389|0.39294|24MHz
